,PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S
0,1,0,3,22.0,1,0,7.25,True,False,True
1,2,1,1,38.0,1,0,71.2833,False,False,False
2,3,1,3,26.0,0,0,7.925,False,False,True
3,4,1,1,35.0,1,0,53.1,False,False,True
4,5,0,3,35.0,0,0,8.05,True,False,True
5,6,0,3,28.0,0,0,8.4583,True,True,False
6,7,0,1,54.0,0,0,51.8625,True,False,True
7,8,0,3,2.0,3,1,21.075,True,False,True
8,9,1,3,27.0,0,2,11.1333,False,False,True
9,10,1,2,14.0,1,0,30.0708,False,False,False
10,11,1,3,4.0,1,1,16.7,False,False,True
11,12,1,1,58.0,0,0,26.55,False,False,True
12,13,0,3,20.0,0,0,8.05,True,False,True
13,14,0,3,39.0,1,5,31.275,True,False,True
14,15,0,3,14.0,0,0,7.8542,False,False,True
15,16,1,2,55.0,0,0,16.0,False,False,True
16,17,0,3,2.0,4,1,29.125,True,True,False
17,18,1,2,28.0,0,0,13.0,True,False,True
18,19,0,3,31.0,1,0,18.0,False,False,True
19,20,1,3,28.0,0,0,7.225,False,False,False
20,21,0,2,35.0,0,0,26.0,True,False,True
21,22,1,2,34.0,0,0,13.0,True,False,True
22,23,1,3,15.0,0,0,8.0292,False,True,False
23,24,1,1,28.0,0,0,35.5,True,False,True
24,25,0,3,8.0,3,1,21.075,False,False,True
25,26,1,3,38.0,1,5,31.3875,False,False,True
26,27,0,3,28.0,0,0,7.225,True,False,False
27,28,0,1,19.0,3,2,263.0,True,False,True
28,29,1,3,28.0,0,0,7.8792,False,True,False
29,30,0,3,28.0,0,0,7.8958,True,False,True
30,31,0,1,40.0,0,0,27.7208,True,False,False
31,32,1,1,28.0,1,0,146.5208,False,False,False
32,33,1,3,28.0,0,0,7.75,False,True,False
33,34,0,2,66.0,0,0,10.5,True,False,True
34,35,0,1,28.0,1,0,82.1708,True,False,False
35,36,0,1,42.0,1,0,52.0,True,False,True
36,37,1,3,28.0,0,0,7.2292,True,False,False
37,38,0,3,21.0,0,0,8.05,True,False,True
38,39,0,3,18.0,2,0,18.0,False,False,True
39,40,1,3,14.0,1,0,11.2417,False,False,False
40,41,0,3,40.0,1,0,9.475,False,False,True
41,42,0,2,27.0,1,0,21.0,False,False,True
42,43,0,3,28.0,0,0,7.8958,True,False,False
43,44,1,2,3.0,1,2,41.5792,False,False,False
44,45,1,3,19.0,0,0,7.8792,False,True,False
45,46,0,3,28.0,0,0,8.05,True,False,True
46,47,0,3,28.0,1,0,15.5,True,True,False
47,48,1,3,28.0,0,0,7.75,False,True,False
48,49,0,3,28.0,2,0,21.6792,True,False,False
49,50,0,3,18.0,1,0,17.8,False,False,True
50,51,0,3,7.0,4,1,39.6875,True,False,True
51,52,0,3,21.0,0,0,7.8,True,False,True
52,53,1,1,49.0,1,0,76.7292,False,False,False
53,54,1,2,29.0,1,0,26.0,False,False,True
54,55,0,1,65.0,0,1,61.9792,True,False,False
55,56,1,1,28.0,0,0,35.5,True,False,True
56,57,1,2,21.0,0,0,10.5,False,False,True
57,58,0,3,28.5,0,0,7.2292,True,False,False
58,59,1,2,5.0,1,2,27.75,False,False,True
59,60,0,3,11.0,5,2,46.9,True,False,True
60,61,0,3,22.0,0,0,7.2292,True,False,False
61,62,1,1,38.0,0,0,80.0,False,False,True
